"No.","Time","Source","Destination","Protocol","Length","Info"
"72","0.019154","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=38480, ID=7505) [Reassembled in #90]"
"73","0.019155","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=39960, ID=7505) [Reassembled in #90]"
"74","0.019155","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=41440, ID=7505) [Reassembled in #90]"
"75","0.019155","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=42920, ID=7505) [Reassembled in #90]"
"76","0.019156","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=44400, ID=7505) [Reassembled in #90]"
"77","0.019156","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=45880, ID=7505) [Reassembled in #90]"
"78","0.019156","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=47360, ID=7505) [Reassembled in #90]"
"79","0.019157","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=48840, ID=7505) [Reassembled in #90]"
"80","0.019157","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=50320, ID=7505) [Reassembled in #90]"
"81","0.019158","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=51800, ID=7505) [Reassembled in #90]"
"82","0.019158","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=53280, ID=7505) [Reassembled in #90]"
"83","0.019158","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=54760, ID=7505) [Reassembled in #90]"
"84","0.019158","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=56240, ID=7505) [Reassembled in #90]"
"85","0.019159","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=57720, ID=7505) [Reassembled in #90]"
"86","0.019159","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=59200, ID=7505) [Reassembled in #90]"
"87","0.019160","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=60680, ID=7505) [Reassembled in #90]"
"88","0.019160","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=62160, ID=7505) [Reassembled in #90]"
"89","0.019161","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=63640, ID=7505) [Reassembled in #90]"
"90","0.019161","192.168.100.14","192.168.100.9","ICMP","422","Echo (ping) reply    id=0x0001, seq=53970/53970, ttl=128 (request in 45)"
"91","0.069505","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=0, ID=6884) [Reassembled in #135]"
"92","0.069505","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=1480, ID=6884) [Reassembled in #135]"
"93","0.069506","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=2960, ID=6884) [Reassembled in #135]"
"94","0.069508","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=4440, ID=6884) [Reassembled in #135]"
"95","0.069508","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=5920, ID=6884) [Reassembled in #135]"
"96","0.069509","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=7400, ID=6884) [Reassembled in #135]"
"97","0.069509","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=8880, ID=6884) [Reassembled in #135]"
"98","0.069510","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=10360, ID=6884) [Reassembled in #135]"
"99","0.069510","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=11840, ID=6884) [Reassembled in #135]"
"100","0.069510","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=13320, ID=6884) [Reassembled in #135]"
"101","0.069511","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=14800, ID=6884) [Reassembled in #135]"
"102","0.071337","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=16280, ID=6884) [Reassembled in #135]"
"103","0.071338","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=17760, ID=6884) [Reassembled in #135]"
"104","0.071338","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=19240, ID=6884) [Reassembled in #135]"
"105","0.071340","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=20720, ID=6884) [Reassembled in #135]"
"106","0.071340","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=22200, ID=6884) [Reassembled in #135]"
"107","0.071341","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=23680, ID=6884) [Reassembled in #135]"
"108","0.071341","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=25160, ID=6884) [Reassembled in #135]"
"109","0.071342","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=26640, ID=6884) [Reassembled in #135]"
"110","0.071342","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=28120, ID=6884) [Reassembled in #135]"
"111","0.071343","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=29600, ID=6884) [Reassembled in #135]"
"112","0.071978","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=31080, ID=6884) [Reassembled in #135]"
"113","0.071978","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=32560, ID=6884) [Reassembled in #135]"
"114","0.078442","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=34040, ID=6884) [Reassembled in #135]"
"115","0.078445","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=35520, ID=6884) [Reassembled in #135]"
"116","0.078445","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=37000, ID=6884) [Reassembled in #135]"
"117","0.078446","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=38480, ID=6884) [Reassembled in #135]"
"118","0.078446","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=39960, ID=6884) [Reassembled in #135]"
"119","0.078447","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=41440, ID=6884) [Reassembled in #135]"
"120","0.078447","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=42920, ID=6884) [Reassembled in #135]"
"121","0.078447","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=44400, ID=6884) [Reassembled in #135]"
"122","0.078448","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=45880, ID=6884) [Reassembled in #135]"
"123","0.078448","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=47360, ID=6884) [Reassembled in #135]"
"124","0.078448","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=48840, ID=6884) [Reassembled in #135]"
"125","0.080085","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=50320, ID=6884) [Reassembled in #135]"
"126","0.080086","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=51800, ID=6884) [Reassembled in #135]"
"127","0.080086","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=53280, ID=6884) [Reassembled in #135]"
"128","0.080088","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=54760, ID=6884) [Reassembled in #135]"
"129","0.080088","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=56240, ID=6884) [Reassembled in #135]"
"130","0.080089","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=57720, ID=6884) [Reassembled in #135]"
"131","0.080089","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=59200, ID=6884) [Reassembled in #135]"
"132","0.080090","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=60680, ID=6884) [Reassembled in #135]"
"133","0.080090","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=62160, ID=6884) [Reassembled in #135]"
"134","0.080530","192.168.100.25","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=63640, ID=6884) [Reassembled in #135]"
"135","0.080531","192.168.100.25","192.168.100.14","ICMP","422","Echo (ping) request  id=0x0001, seq=1393/28933, ttl=128 (reply in 180)"
